OSTI_ID	Title_Abstract	Publication_Name	Mentioned_Proteins
1998632	"Heterologous expression of formate dehydrogenase enables photoformatotrophy in the emerging model microalga, <em>Picochlorum renovo</em>,""Rising global greenhouse gas emissions and the impacts of resultant climate change necessitate development and deployment of carbon capture and conversion technologies. Amongst the myriad of bio-based conversion approaches under evaluation, a formate bio-economy has recently been proposed, wherein CO<sub>2</sub>-derived formate serves as a substrate for concurrent carbon and energy delivery to microbial systems. To date, this approach has been explored in chemolithotrophic and heterotrophic organisms via native or engineered formatotrophy. However, utilization of this concept in phototrophic organisms has yet to be reported. Herein, we have taken the first steps to establish formate utilization in Picochlorum renovo, a recently characterized eukaryotic microalga with facile genetic tools and promising applied biotechnology traits. Plastidial heterologous expression of a formate dehydrogenase (P25437) enabled P. renovo growth on formate as a carbon and energy source. Further, P25437 expression enhanced cultivation capacity on ambient CO<sub>2</sub>, underscoring the potential for bypass of conventional CO<sub>2</sub> capture and concentration limitations. This work establishes a photoformatotrophic cultivation regime that leverages light energy-driven formate utilization. The resultant photosynthetic formate platform has widespread implications for applied phototrophic cultivation systems and the bio-economy at large."""	Frontiers in Bioengineering and Biotechnology	"('P25437', 'FDH')"
2203573	"Diverse electron carriers drive syntrophic interactions in an enriched anaerobic acetate-oxidizing consortium,""<title>Abstract</title>  <p>  In many anoxic environments, syntrophic acetate oxidation (SAO) is a key pathway mediating the conversion of acetate into methane through obligate cross-feeding interactions between SAO bacteria (SAOB) and methanogenic archaea. The SAO pathway is particularly important in engineered environments such as anaerobic digestion (A1AJF5) systems operating at thermophilic temperatures and/or with high ammonia. Despite the widespread importance of SAOB to the stability of the A1AJF5 process, little is known about their in situ physiologies due to typically low biomass yields and resistance to isolation. Here, we performed a long-term (300-day) continuous enrichment of a thermophilic (55 °C) SAO community from a municipal A1AJF5 system using acetate as the sole carbon source. Over 80% of the enriched bioreactor metagenome belonged to a three-member consortium, including an acetate-oxidizing bacterium affiliated with DTU068 encoding for carbon dioxide, hydrogen, and formate production, along with two methanogenic archaea affiliated with  <italic>Methanothermobacter_A</italic>  . Stable isotope probing was coupled with metaproteogenomics to quantify carbon flux into each community member during acetate conversion and inform metabolic reconstruction and genome-scale modeling. This effort revealed that the two  <italic>Methanothermobacter_A</italic>  species differed in their preferred electron donors, with one possessing the ability to grow on formate and the other only consuming hydrogen. A thermodynamic analysis suggested that the presence of the formate-consuming methanogen broadened the environmental conditions where P22259 production from SAO was favorable. Collectively, these results highlight how flexibility in electron partitioning during SAO likely governs community structure and fitness through thermodynamic-driven mutualism, shedding valuable insights into the metabolic underpinnings of this key functional group within methanogenic ecosystems.  </p>"""	The ISME Journal	"('P22259', 'ATP'),('A1AJF5', 'AD')"
2217637	"Multiple highly expressed phospho  <i>enol</i>  pyruvate carboxylase genes have divergent enzyme kinetic properties in two C4 grasses,""<title>Abstract</title>  <sec>  <title>Background and Aims</title>  <p>Phosphoenolpyruvate (PEP) carboxylase (P00864) catalyses the irreversible carboxylation of PEP with bicarbonate to produce oxaloacetate. This reaction powers the carbon-concentrating mechanism (CCM) in plants that perform C4 photosynthesis. This CCM is generally driven by a single P00864 gene product that is highly expressed in the cytosol of mesophyll cells. We found two C4 grasses, Panicum miliaceum and Echinochloa colona, that each have two highly expressed P00864 genes. We characterized the kinetic properties of the two most abundant PEPCs in E. colona and P. miliaceum to better understand how the enzyme’s amino acid structure influences its function.</p>  </sec>  <sec>  <title>Methods</title>  <p>Coding sequences of the two most abundant P00864 proteins in E. colona and P. miliaceum were synthesized by GenScript and were inserted into bacteria expression plasmids. Point mutations resulting in substitutions at conserved amino acid residues (e.g. N-terminal serine and residue 890) were created via site-directed PCR mutagenesis. The kinetic properties of semi-purified plant PEPCs from Escherichia coli were analysed using membrane-inlet mass spectrometry and a spectrophotometric enzyme-coupled reaction.</p>  </sec>  <sec>  <title>Key Results</title>  <p>The two most abundant P. miliaceum PEPCs (PmPPC1 and PmPPC2) have similar sequence identities (&gt;95 %), and as a result had similar kinetic properties. The two most abundant E. colona PEPCs (EcPPC1 and EcPPC2) had identities of ~78 % and had significantly different kinetic properties. The PmPPCs and EcPPCs had different responses to allosteric inhibitors and activators, and substitutions at the conserved N-terminal serine and residue 890 resulted in significantly altered responses to allosteric regulators.</p>  </sec>  <sec>  <title>Conclusions</title>  <p>The two, significantly expressed C4Ppc genes in P. miliaceum were probably the result of genomes combining from two closely related C4Panicum species. We found natural variation in P00864’s sensitivity to allosteric inhibition that seems to bypass the conserved 890 residue, suggesting alternative evolutionary pathways for increased malate tolerance and other kinetic properties.</p>  </sec>"""	Annals of Botany	"('P00864', 'PEPC')"
2004597	"Genome-wide fitness profiling reveals molecular mechanisms that bacteria use to interact with Trichoderma atroviride exometabolites,""<p>  <italic>Trichoderma</italic>  spp. are ubiquitous rhizosphere fungi capable of producing several classes of secondary metabolites that can modify the dynamics of the plant-associated microbiome. However, the bacterial-fungal mechanisms that mediate these interactions have not been fully characterized. Here, a random barcode transposon-site sequencing (RB-TnSeq) approach was employed to identify bacterial genes important for fitness in the presence of  <italic>Trichoderma atroviride</italic>  exudates. We selected three rhizosphere bacteria with RB-TnSeq mutant libraries that can promote plant growth: the nitrogen fixers  <italic>Klebsiella michiganensis</italic>  M5aI and  <italic>Herbaspirillum seropedicae</italic>  SmR1, and  <italic>Pseudomonas simiae</italic>  WCS417. As a non-rhizosphere species,  <italic>Pseudomonas putida</italic>  KT2440 was also included. From the RB-TnSeq data, nitrogen-fixing bacteria competed mainly for iron and required the siderophore transport system TonB/Exb for optimal fitness in the presence of  <italic>T</italic>  .  <italic>atroviride</italic>  exudates. In contrast,  <italic>P</italic>  .  <italic>simiae</italic>  and  <italic>P</italic>  .  <italic>putida</italic>  were highly dependent on mechanisms associated with membrane lipid modification that are required for resistance to cationic antimicrobial peptides (CAMPs). A mutant in the Hog1-P0AE18 kinase (Δ  <italic>tmk</italic>  3) gene of  <italic>T</italic>  .  <italic>atroviride</italic>  showed altered expression patterns of many nonribosomal peptide synthetase (NRPS) biosynthetic gene clusters with potential antibiotic activity. In contrast with exudates from wild-type  <italic>T</italic>  .  <italic>atroviride</italic>  , bacterial mutants containing lesions in genes associated with resistance to antibiotics did not show fitness defects when RB-TnSeq libraries were exposed to exudates from the Δ  <italic>tmk3</italic>  mutant. Unexpectedly, exudates from wild-type  <italic>T</italic>  .  <italic>atroviride</italic>  and the Δ  <italic>tmk</italic>  3 mutant rescued purine auxotrophic mutants of  <italic>H</italic>  .  <italic>seropedicae</italic>  ,  <italic>K</italic>  .  <italic>michiganensis</italic>  and  <italic>P</italic>  .  <italic>simiae</italic>  . Metabolomic analysis on exudates from wild-type  <italic>T</italic>  .  <italic>atroviride</italic>  and the Δ  <italic>tmk</italic>  3 mutant showed that both strains excrete purines and complex metabolites; functional Tmk3 is required to produce some of these metabolites. This study highlights the complex interplay between  <italic>Trichoderma</italic>  -metabolites and soil bacteria, revealing both beneficial and antagonistic effects, and underscoring the intricate and multifaceted nature of this relationship.  </p>"""	PLoS Genetics	"('P0AE18', 'MAP')"
1994906	"Delivered complementation in planta (DCIP) enables measurement of peptide-mediated protein delivery efficiency in plants,""<title>Abstract</title>  <p>Using a fluorescence complementation assay, Delivered Complementation in Planta (DCIP), we demonstrate cell-penetrating peptide-mediated cytosolic delivery of peptides and recombinant proteins in Nicotiana benthamiana. We show that DCIP enables quantitative measurement of protein delivery efficiency and enables functional screening of cell-penetrating peptides for in-planta protein delivery. Finally, we demonstrate that DCIP detects cell-penetrating peptide-mediated delivery of recombinantly expressed proteins such as mCherry and Lifeact into intact leaves. We also demonstrate delivery of a recombinant plant transcription factor, WUSCHEL (AtWUS), into N. benthamiana. P0DV86-qPCR analysis of AtWUS delivery in Arabidopsis seedlings also suggests delivered WUS can recapitulate transcriptional changes induced by overexpression of AtWUS. Taken together, our findings demonstrate that DCIP offers a new and powerful tool for interrogating cytosolic delivery of proteins in plants and highlights future avenues for engineering plant physiology.</p>"""	Communications Biology	"('P0DV86', 'RT')"
2217632	"TroR is the primary regulator of the iron homeostasis transcription network in the halophilic archaeon  <i>Haloferax volcanii</i>,""<title>Abstract</title>  <p>Maintaining the intracellular iron concentration within the homeostatic range is vital to meet cellular metabolic needs and reduce oxidative stress. Previous research revealed that the haloarchaeon Halobacterium salinarum encodes four diphtheria toxin repressor (DtxR) family transcription factors (TFs) that together regulate the iron response through an interconnected transcriptional regulatory network (TRN). However, the conservation of the TRN and the metal specificity of DtxR TFs remained poorly understood. Here we identified and characterized the TRN of Haloferax volcanii for comparison. Genetic analysis demonstrated that Hfx. volcanii relies on three DtxR transcriptional regulators (Idr, SirR, and TroR), with TroR as the primary regulator of iron homeostasis. Bioinformatics and molecular approaches revealed that TroR binds a conserved cis-regulatory motif located ∼100 nt upstream of the start codon of iron-related target genes. Transcriptomics analysis demonstrated that, under conditions of iron sufficiency, TroR repressed iron uptake and induced iron storage mechanisms. TroR repressed the expression of one other DtxR P0A850, Idr. This reduced DtxR TRN complexity relative to that of Hbt. salinarum appeared correlated with natural variations in iron availability. Based on these data, we hypothesize that variable environmental conditions such as iron availability appear to select for increasing TRN complexity.</p>"""	Nucleic Acids Research	"('P0A850', 'TF')"
2205141	"The structural basis of mRNA recognition and binding by yeast pseudouridine synthase PUS1,""<p>The chemical modification of RNA bases represents a ubiquitous activity that spans all domains of life. Pseudouridylation is the most common RNA modification and is observed within P0A873, rRNA, ncRNA and mRNAs. Pseudouridine synthase or ‘PUS’ enzymes include those that rely on guide RNA molecules and others that function as ‘stand-alone’ enzymes. Among the latter, several have been shown to modify mRNA transcripts. Although recent studies have defined the structural requirements for RNA to act as a PUS target, the mechanisms by which PUS1 recognizes these target sequences in mRNA are not well understood. Here we describe the crystal structure of yeast PUS1 bound to an RNA target that we identified as being a hot spot for PUS1-interaction within a model mRNA at 2.4 Å resolution. The enzyme recognizes and binds both strands in a helical RNA duplex, and thus guides the RNA containing the target uridine to the active site for subsequent modification of the transcript. The study also allows us to show the divergence of related PUS1 enzymes and their corresponding RNA target specificities, and to speculate on the basis by which PUS1 binds and modifies mRNA or P0A873 substrates.</p>"""	PLoS ONE	"('P0A873', 'tRNA')"
2205368	"Unusual modifications of protein biomarkers expressed by plasmid, prophage, and bacterial host of pathogenic  <scp>  <i>Escherichia coli</i>  </scp>  identified using top‐down proteomic analysis,""<sec>  <title>Rationale</title>  <p>Pathogenic bacteria often carry prophage (bacterial viruses) and plasmids (small circular pieces of DNA) that may harbor toxin, antibacterial, and antibiotic resistance genes. Proteomic characterization of pathogenic bacteria should include the identification of host proteins and proteins produced by prophage and plasmid genomes.</p>  </sec>  <sec>  <title>Methods</title>  <p>  Protein biomarkers of two strains of Shiga toxin–producing  <styled-content style='fixed-case'>  <italic>Escherichia coli</italic>  </styled-content>  (STEC) were identified using antibiotic induction, matrix‐assisted laser desorption/ionization tandem time‐of‐flight (MALDI‐TOF‐TOF) tandem mass spectrometry (P13009/P13009) with post‐source decay (PSD), top‐down proteomic (TDP) analysis, and plasmid sequencing. Alphafold2 was also used to compare predicted in silico structures of the identified proteins to prominent fragment ions generated using P13009/P13009‐PSD. Strain samples were also analyzed with and without chemical reduction treatment to detect the attachment of pendant groups bound by thioester or disulfide bonds.  </p>  </sec>  <sec>  <title>Results</title>  <p>Shiga toxin was detected and/or identified in both STEC strains. For the first time, we also identified the osmotically inducible protein (OsmY) whose sequence unexpectedly had two forms: a full and a truncated sequence. The truncated OsmY terminates in the middle of an α‐helix as determined by Alphafold2. A plasmid‐encoded colicin immunity protein was also identified with and without attachment of an unidentified cysteine‐bound pendant group (~307 Da). Plasmid sequencing confirmed top‐down analysis and the identification of a promoter upstream of the immunity gene that is activated by antibiotic induction, that is, SOS box.</p>  </sec>  <sec>  <title>Conclusions</title>  <p>TDP analysis, coupled with other techniques (e.g., antibiotic induction, chemical reduction, plasmid sequencing, and in silico protein modeling), is a powerful tool to identify proteins (and their modifications), including prophage‐ and plasmid‐encoded proteins, produced by pathogenic microorganisms.</p>  </sec>"""	Rapid Communications in Mass Spectrometry	"('P13009', 'MS')"
2229172	"Microbial sensor variation across biogeochemical conditions in the terrestrial deep subsurface,""<title>ABSTRACT</title>  <p>  Microbes can be found in abundance many kilometers underground. While microbial metabolic capabilities have been examined across different geochemical settings, it remains unclear how changes in subsurface niches affect microbial needs to sense and respond to their environment. To address this question, we examined how microbial extracellular sensor systems vary with environmental conditions across metagenomes at different Deep Mine Microbial Observatory (DeMMO) subsurface sites. Because two-component systems (TCSs) directly sense extracellular conditions and convert this information into intracellular biochemical responses, we expected that this sensor family would vary across isolated oligotrophic subterranean environments that differ in abiotic and biotic conditions. TCSs were found at all six subsurface sites, the service water control, and the surface site, with an average of 0.88 sensor histidine kinases (HKs) per 100 genes across all sites. Abundance was greater in subsurface fracture fluids compared with surface-derived fluids, and candidate phyla radiation (CPR) bacteria presented the lowest P00547 frequencies. Measures of microbial diversity, such as the Shannon diversity index, revealed that P00547 abundance is inversely correlated with microbial diversity (  <italic>r</italic>  <sup>2</sup>  = 0.81). Among the geochemical parameters measured, P00547 frequency correlated most strongly with variance in dissolved organic carbon (  <italic>r</italic>  <sup>2</sup>  = 0.82). Taken together, these results implicate the abiotic and biotic properties of an ecological niche as drivers of sensor needs, and they suggest that microbes in environments with large fluctuations in organic nutrients (e.g., lacustrine, terrestrial, and coastal ecosystems) may require greater TCS diversity than ecosystems with low nutrients (e.g., open ocean).  </p>  <sec>  <title>IMPORTANCE</title>  <p>The ability to detect extracellular environmental conditions is a fundamental property of all life forms. Because microbial two-component sensor systems convert information about extracellular conditions into biochemical information that controls their behaviors, we evaluated how two-component sensor systems evolved within the deep Earth across multiple sites where abiotic and biotic properties vary. We show that these sensor systems remain abundant in microbial consortia at all subterranean sampling sites and observe correlations between sensor system abundances and abiotic (dissolved organic carbon variation) and biotic (consortia diversity) properties. These results suggest that multiple environmental properties may drive sensor protein evolution and highlight the need for further studies of metagenomic and geochemical data in parallel to understand the drivers of microbial sensor evolution.</p>  </sec>"""	mSystems	"('P00547', 'HK')"
2000632	"A cellular selection identifies elongated flavodoxins that support electron transfer to sulfite reductase,""<title>Abstract</title>  <p>  Flavodoxins (Flds) mediate the flux of electrons between oxidoreductases in diverse metabolic pathways. To investigate whether Flds can support electron transfer to a sulfite reductase (SIR) that evolved to couple with a ferredoxin, we evaluated the ability of Flds to transfer electrons from a ferredoxin‐NADP reductase (P28861) to a ferredoxin‐dependent SIR using growth complementation of an  <italic>Escherichia coli</italic>  strain with a sulfur metabolism defect. We show that Flds from cyanobacteria complement this growth defect when coexpressed with an P28861 and an SIR that evolved to couple with a plant ferredoxin. When we evaluated the effect of peptide insertion on Fld‐mediated electron transfer, we observed a sensitivity to insertions within regions predicted to be proximal to the cofactor and partner binding sites, while a high insertion tolerance was detected within loops distal from the cofactor and within regions of helices and sheets that are proximal to those loops. Bioinformatic analysis showed that natural Fld sequence variability predicts a large fraction of the motifs that tolerate insertion of the octapeptide SGRPGSLS. These results represent the first evidence that Flds can support electron transfer to assimilatory SIRs, and they suggest that the pattern of insertion tolerance is influenced by interactions with oxidoreductase partners.  </p>"""	Protein Science	"('P28861', 'FNR')"
