Uniprot_ID,Names,,,,,,,,,,,,,
A0A0H2V871,Apo-salmochelin esterase,Enterobactin hydrolase IroE,,,,,,,,,,,,
A0A0H2V8B5,NAD(+) hydrolase TcpC,NADP(+) hydrolase TcpC,TIR domain-containing protein in E.coli,tcpC,,,,,,,,,,
A0A140N5J7,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,KDO 8-P phosphatase,,,,,,,,,,,,
A0A1S4NYE3,tRNA nuclease CdiA,tRNase CdiA,EC 3.1.-.-,Contact-dependent inhibitor A,CdiA-STECO31,Toxin CdiA,,,,,,,,
A0A6M7H989,D-lyxose/D-mannose isomerase,,,,,,,,,,,,,
A1ACB2,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
A5A616,Small protein MgtS,,,,,,,,,,,,,
A6M9B7,O-antigen biosynthesis glycosyltransferase WclY,Alpha-1,,,,,,,,,,,,
A7ZN88,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
A8A1G6,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
A8C927,16S rRNA,adenine(1408)-N(1))-methyltransferase  (16S rRNA m1A1408 methyltransferase,,,,,,,,,,,,
B1IZU5,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B1LQP2,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B1X6B7,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B3BM80,Deoxyribonuclease CdiA-o11,DNase CdiA,EC 3.1.-.-,CdiA-o11-EC869,Toxin CdiA,,,,,,,,,
B5YSJ3,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B6I112,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B7L8Y4,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B7M3A5,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B7MCM0,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B7MWF3,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B7NBV8,Protein/nucleic acid deglycase HchA,Maillard deglycase,,,,,,,,,,,,
B7NFE7,Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase   ; 3-hydroxyacyl-CoA dehydrogenase ],,,,,,,,,,,,,
