ID,Names,,,,,,,,,,,,,,
A5A616, ['Small protein MgtS'],,,,,,,,,,,,,,
O32583, ['Sulfur carrier protein ThiS', 'Thiamine biosynthesis protein ThiS'],,,,,,,,,,,,,
P00350, ['6-phosphogluconate dehydrogenase, decarboxylating'],,,,,,,,,,,,,
P00363, ['Fumarate reductase flavoprotein subunit', 'Quinol-fumarate reductase flavoprotein subunit', 'QFR flavoprotein subunit'],,,,,,,,,,,,
P00370, ['NADP-specific glutamate dehydrogenase', 'NADP-GDH'],,,,,,,,,,,,,
P00393, ['Type II NADH:quinone oxidoreductase', 'Cupric reductase', 'NADH dehydrogenase-2', 'NADH dh II', 'NDH-2', 'NADH-quinone reductase', 'NQR', 'NADH:ubiquinone oxidoreductase', 'Respiratory NADH dehydrogenase'],,,,,,
P00448, ['Superoxide dismutase [Mn]', 'MnSOD'],,,,,,,,,,,,,
P00452, ['Ribonucleoside-diphosphate reductase 1 subunit alpha', 'Protein B1', 'Ribonucleoside-diphosphate reductase 1 R1 subunit', 'Ribonucleotide reductase 1'],,,,,,,,,,,
P00490, ['Maltodextrin phosphorylase'],,,,,,,,,,,,,,
P00509, ['Aspartate aminotransferase', 'AspAT', 'Transaminase A'],,,,,,,,,,,,
P00550, ['PTS system mannitol-specific EIICBA component', 'EIICBA-Mtl', 'EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component  (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]'],,,,,,,,,,,,
P00561, ['Bifunctional aspartokinase/homoserine dehydrogenase 1', 'Aspartokinase I/homoserine dehydrogenase I', 'AKI-HDI) [Includes: Aspartokinase ; Homoserine dehydrogenase ]'],,,,,,,,,,,,
P00562, ['Bifunctional aspartokinase/homoserine dehydrogenase 2', 'Aspartokinase II/homoserine dehydrogenase II', 'AKII-HDII) [Includes: Aspartokinase ; Homoserine dehydrogenase ]'],,,,,,,,,,,,
P00579, ['RNA polymerase sigma factor RpoD', 'Sigma-70'],,,,,,,,,,,,,
P00582, ['DNA polymerase I', 'POL I'],,,,,,,,,,,,,
P00634, ['Alkaline phosphatase', 'APase'],,,,,,,,,,,,,
P00722, ['Beta-galactosidase', 'Beta-gal', 'Lactase'],,,,,,,,,,,,
P00803, ['Signal peptidase I', 'SPase I', 'Leader peptidase I'],,,,,,,,,,,,
P00804, ['Lipoprotein signal peptidase', 'Prolipoprotein signal peptidase', 'Signal peptidase II', 'SPase II'],,,,,,,,,,,
